site,n_obs,ra_std,dec_std
G02,1546,0.22317257339862248,0.20557170811174583
B17,1543,0.27096335486756457,0.23056993513375892
L96,1543,0.3745890455995763,0.2467065328123328
G00,1538,0.17612926870634027,0.15455719225176803
V57,1535,0.25648716022673956,0.1865044443547916
540,1534,0.6478010622081652,0.5987867071253594
138,1523,0.5984483901108749,0.4801971624319698
693,1516,1.6449585885704459,0.8968402699034747
420,1503,0.7023193608816558,0.5715728554973255
A34,1496,0.17186794614422743,0.17757578042496536
J93,1471,0.4458142906945279,0.3685098234237554
K73,1469,0.38730948769076295,0.29584654553695827
U68,1463,0.3346953009931482,0.2279670500764903
W93,1438,0.1616804954159991,0.09674722190132619
K90,1425,0.1632790114153777,0.1491432173577971
560,1425,0.8332622180336571,0.6563275971910986
J94,1407,0.3611725535760976,0.3141626907526445
990,1407,2.203620647033738,1.532023524245928
N87,1405,0.389021484595504,0.2676292031272199
M45,1397,0.2639756369777509,0.219115293222752
786,1373,0.5566648290970797,0.5257799214842872
J95,1371,0.18481632621659785,0.173478102580868
083,1368,0.41780078543635957,0.36348792420173914
K22,1362,0.09824110959722937,0.1367107251277136
W16,1353,0.14996973386961654,0.10273854387271604
W24,1324,0.329253886165234,0.24413235655006926
448,1272,0.29715017055136556,0.24472583437172157
L65,1269,0.14777369026290202,0.13942620032189
611,1260,0.5926626792528403,0.5486465617096403
L76,1235,0.14467097473857998,0.12307992914605065
K87,1230,0.22730670661976046,0.2284396281009301
117,1230,1.2485846165027634,0.9842109020177079
H47,1216,0.27678775172312,0.23739673346186074
432,1216,0.307695033987463,0.17565443649799573
029,1212,0.6364333109718591,0.5354402428290975
648,1209,0.3744469593970131,0.38351692385287284
975,1175,1.0677452809290562,0.9728820068143487
198,1172,0.3002108044399215,0.2321244765056585
J19,1164,0.5463384223898151,0.30002731063757015
A71,1161,0.28544147327194214,0.2696748260265275
Y28,1118,0.09838062012901885,0.14270565461108495
886,1118,1.0532615768378353,0.8254797751516897
369,1118,0.5659765320758308,0.5697977284319129
A98,1109,0.8471014337434282,0.4611119557355167
A32,1104,0.3134509709891635,0.22568872066350262
727,1103,0.45337633094441376,0.4553095654675556
367,1099,0.7175186195453781,0.5955180017648519
G33,1093,0.2688048715639702,0.23799037110540552
565,1091,0.45566926824259246,0.36939276992654985
K35,1076,0.21873144512123618,0.1806888471782878
M52,1073,0.37872880443869406,0.30001900123214315
233,1070,0.688083900286626,0.5568385027387325
M49,1063,0.14687380985141696,0.12792224996476667
K46,1060,0.1258326490510294,0.10889521186198657
758,1041,0.7185655351092396,0.5444073419276775
E89,1020,0.6334172154130784,0.45195870247696723
A30,1019,0.3971588841515513,0.3171947395373821
620,1010,0.6154732979129025,0.5518487797956186
B18,1004,0.17475712131129273,0.18014065242481
